id,name_ko,name_en,category,target_concerns,suitable_skin_types,price_min,price_max,downtime_days,duration_minutes,session_count
treat-skin-botox-meso-botox,스킨보톡스,Skin Botox (Meso-Botox),injection,pores|wrinkles,oily|combination|normal,100000,250000,0,20,"3~6개월마다 반복"
treat-volume-filler-forehead-temple,볼륨 필러 (이마/관자놀이),Volume Filler (Forehead/Temple),injection,wrinkles,dry|normal|combination|oily|sensitive,300000,800000,5,30,"6~18개월마다 반복"
treat-water-glow-injection-skinbooster,물광주사,Water Glow Injection (Skinbooster),injection,dryness|dullness|wrinkles,dry|normal|combination|sensitive,150000,350000,3,30,"3~4회 (2~4주 간격)"
treat-juvederm-voluma-filler,쥬베덤 볼보 필러,Juvederm Voluma Filler,injection,wrinkles,dry|normal|combination|oily|sensitive,300000,700000,5,30,"12~18개월마다 반복"
treat-chin-filler,턱끝 필러,Chin Filler,injection,wrinkles,dry|normal|combination|oily|sensitive,200000,500000,5,30,"6~18개월마다 반복"
treat-hydrating-facial,수분 관리,Hydrating Facial,facial,dryness|dullness,dry|sensitive|normal,50000,120000,0,45,"2~4주 간격 반복"
treat-calming-facial,진정 관리,Calming Facial,facial,redness|eczema|dryness,sensitive|dry,50000,120000,0,45,"2~4주 간격 반복"
treat-brightening-facial,미백 관리,Brightening Facial,facial,dark_spots|dullness|uneven_tone,normal|combination|dry,60000,150000,0,45,"2~4주 간격 반복"
treat-korean-herbal-facial,한방 관리,Korean Herbal Facial,facial,dullness|wrinkles|dryness,dry|normal|sensitive,80000,180000,0,45,"2~4주 간격 반복"
treat-acne-treatment-facial,여드름 관리,Acne Treatment Facial,facial,acne|pores,oily|combination,60000,150000,1,45,"2~4주 간격 반복"
treat-led-light-therapy,LED 테라피,LED Light Therapy,facial,acne|redness|wrinkles|dullness,sensitive|normal|combination|oily,30000,80000,0,20,"주 2~3회, 8~12회"
treat-oxygen-facial,산소 관리,Oxygen Facial,facial,dullness|dryness,dry|normal|sensitive,60000,150000,0,45,"2~4주 간격 반복"
treat-gold-mask-facial,골드 마스크 관리,Gold Mask Facial,facial,wrinkles|dullness|dryness,dry|normal|combination,80000,200000,0,45,"2~4주 간격 반복"
treat-fat-dissolving-injection-double-chin,지방 분해 주사 (턱 아래),Fat Dissolving Injection (Double Chin),body,,dry|normal|combination|oily|sensitive,150000,400000,5,20,"2~4회 (4~8주 간격)"
treat-coolsculpting-cryolipolysis,쿨스컬프팅 (냉동 지방 분해),CoolSculpting (Cryolipolysis),body,,dry|normal|combination|oily|sensitive,200000,600000,3,45,"2~4회 (4~8주 간격)"
treat-inmode-body-tightening,인모드 바디 타이트닝,InMode Body Tightening,body,,dry|normal|combination|oily|sensitive,150000,400000,1,45,"2~4회 (4~8주 간격)"
treat-body-lifting-laser,바디 리프팅 레이저,Body Lifting Laser,body,,dry|normal|combination|oily|sensitive,200000,500000,2,45,"2~4회 (4~8주 간격)"
treat-scalp-scaling,두피 스케일링,Scalp Scaling,hair,dryness|redness,dry|normal|oily|sensitive,50000,120000,0,60,"주 1회, 8~12회"
treat-hair-mesotherapy,헤어 메조테라피,Hair Mesotherapy,hair,dryness,dry|normal|oily|sensitive,100000,250000,0,45,"주 1회, 8~12회"
treat-prp-hair-rejuvenation,PRP 모발 재생,PRP Hair Rejuvenation,hair,dryness,dry|normal|oily|sensitive,200000,500000,1,45,"주 1회, 8~12회"
treat-hydrafacial,하이드라페이셜,HydraFacial,facial,pores|dullness|dryness|acne|uneven_tone,dry|oily|combination|sensitive|normal,80000,200000,0,45,"2~4주 간격 반복"
treat-thread-lift,실리프팅 (쓰레드 리프트),Thread Lift,injection,wrinkles,dry|normal|combination|oily|sensitive,300000,1500000,7,60,"1~2회 (12~18개월 유지)"
treat-vitamin-iv-drip-glutathione,비타민 수액 (글루타치온 IV),Vitamin IV Drip (Glutathione),injection,dullness|dryness,dry|oily|combination|sensitive|normal,50000,200000,0,30,"1~2주 간격 (여행 중 1회도 가능)"
