id,source_id,name_ko,name_en,suitable_skin_types,suitable_skin_types_confidence,target_concerns,target_concerns_confidence,duration_minutes,session_count,downtime_days,price_min,price_max,description_ko,description_en,precautions_ko,precautions_en,aftercare_ko,aftercare_en,is_approved,review_notes
8cf5a517-7e44-5043-b19c-4a77c3ca116a,treat-thermage-flx,써마지 FLX,Thermage FLX,dry|oily|combination|sensitive|normal,0.7,wrinkles|pores|dullness|uneven_tone,0.9,30,1회 (12~24개월 유지),0,500000,2500000,"Thermage FLX uses radiofrequency energy to stimulate collagen production for tighter, smoother skin. This treatment effectively reduces wrinkles and improves skin elasticity, providing both immediate lifting and natural-looking results. Expect minimal downtime, allowing you to quickly return to your daily activities.","Thermage FLX uses radiofrequency energy to stimulate collagen production for tighter, smoother skin. This treatment effectively reduces wrinkles and improves skin elasticity, providing both immediate lifting and natural-looking results. Expect minimal downtime, allowing you to quickly return to your daily activities.","Consult with a professional about your skin condition before the procedure, and note that it may not be suitable for those with inflammation or skin diseases. Thermage FLX typically requires 1-3 days recovery. If you're a tourist, schedule your treatment early in your trip and allow for some downtime. Minimize sun exposure and avoid strenuous exercise or saunas post-treatment.","Consult with a professional about your skin condition before the procedure, and note that it may not be suitable for those with inflammation or skin diseases. Thermage FLX typically requires minimal redness for a few hours recovery. If you're a tourist, schedule your treatment early in your trip and allow for some downtime. Minimize sun exposure and avoid strenuous exercise or saunas post-treatment.","After the treatment, diligently apply sunscreen and avoid direct sun exposure. Refrain from alcohol, saunas, and hot springs as they can cause inflammation. Contact the clinic if you experience severe swelling or redness. You can gradually resume your normal activities after a few days.","After the treatment, diligently apply sunscreen and avoid direct sun exposure. Refrain from alcohol, saunas, and hot springs as they can cause inflammation. Contact the clinic if you experience severe swelling or redness. You can gradually resume your normal activities after a few days.",,
463e6efd-3561-5bea-9290-5aa6b64e415c,treat-shurink-universe,슈링크 유니버스,Shrink Universe,dry|oily|combination|sensitive|normal,0.7,wrinkles|pores,0.75,30,1~2회 (6~12개월 유지),0,200000,800000,Shrink Universe delivers focused energy deep into the skin to stimulate collagen production and improve elasticity. Expect immediate tightening with gradual lifting results and minimal downtime.,Shrink Universe delivers focused energy deep into the skin to stimulate collagen production and improve elasticity. Expect immediate tightening with gradual lifting results and minimal downtime.,"Before treatment, ensure your skin is thoroughly assessed and consult with a medical professional if you are pregnant or have any underlying health conditions. Expect 1-3 days recovery. If you're a tourist, schedule your treatment well in advance of any major events, minimize sun exposure, and avoid other aggressive procedures.","Before treatment, ensure your skin is thoroughly assessed and consult with a medical professional if you are pregnant or have any underlying health conditions. Expect minimal redness for a few hours recovery. If you're a tourist, schedule your treatment well in advance of any major events, minimize sun exposure, and avoid other aggressive procedures.","After treatment, apply sunscreen diligently and avoid saunas, hot springs, and alcohol. Redness or swelling should subside within a few days, and you can typically resume normal activities immediately. Seek medical attention if you experience excessive irritation or inflammation.","After treatment, apply sunscreen diligently and avoid saunas, hot springs, and alcohol. Redness or swelling should subside within a few days, and you can typically resume normal activities immediately. Seek medical attention if you experience excessive irritation or inflammation.",,
6c3a5ea2-f67a-59a9-a06b-4b4829df4541,treat-v-beam-laser,브이빔 레이저,V-Beam Laser,normal|sensitive|combination|oily|dry,0.7,redness|dark_spots|sun_damage|uneven_tone,0.85,30,3~5회 (2~4주 간격),2,80000,200000,"The V-Beam laser targets and treats vascular issues like redness, acne scars, and vascular lesions. Expect a reduction in visible imperfections with minimal downtime, typically involving slight redness that subsides within a few days.","The V-Beam laser targets and treats vascular issues like redness, acne scars, and vascular lesions. Expect a reduction in visible imperfections with minimal downtime, typically involving slight redness that subsides within a few days.","Minimize sun exposure before your V-Beam treatment and diligently apply sunscreen. As bruising or swelling is possible, schedule your procedure with at least 1-3 days of recovery time in mind. Avoid irritating the treated area.","Minimize sun exposure before your V-Beam treatment and diligently apply sunscreen. As bruising or swelling is possible, schedule your procedure with at least 1-3 days of recovery time in mind. Avoid irritating the treated area.","After your V-Beam treatment, strictly avoid sun exposure and activities like saunas, hot springs, and alcohol consumption. Light makeup can be applied once redness subsides. Normal activities can usually be resumed after 2-3 days. Contact your clinic if you experience severe swelling or persistent pain.","After your V-Beam treatment, strictly avoid sun exposure and activities like saunas, hot springs, and alcohol consumption. Light makeup can be applied once redness subsides. Normal activities can usually be resumed after 2-3 days. Contact your clinic if you experience severe swelling or persistent pain.",,
55bc8f05-026a-5d51-a6fa-9efe896a7698,treat-revlite-laser,레블라이트 레이저,Reblite Laser,normal|oily|combination|sensitive,0.7,dark_spots|uneven_tone|pores|redness,0.8,30,5~10회 (1~2주 간격),1,60000,180000,"The Reblite Laser selectively targets melanin to effectively improve blemishes, freckles, and sunspots. Expect temporary redness after treatment, followed by a clearer and brighter complexion with a short recovery period.","The Reblite Laser selectively targets melanin to effectively improve blemishes, freckles, and sunspots. Expect temporary redness after treatment, followed by a clearer and brighter complexion with a short recovery period.","An accurate skin diagnosis is crucial before treatment. Allow for 1-3 days of recovery following the Reblite Laser procedure and plan your schedule accordingly. Avoid strong sun exposure before and after treatment, especially if you are a tourist.","An accurate skin diagnosis is crucial before treatment. Allow for 1-3 days of recovery following the Reblite Laser procedure and plan your schedule accordingly. Avoid strong sun exposure before and after treatment, especially if you are a tourist.","Apply sunscreen diligently after the treatment and avoid saunas, hot springs, and alcohol. Light makeup can be applied after a few days. Watch for signs of skin irritation or inflammation and seek medical attention if they occur. Consult with a professional if swelling or redness persists.","Apply sunscreen diligently after the treatment and avoid saunas, hot springs, and alcohol. Light makeup can be applied after a few days. Watch for signs of skin irritation or inflammation and seek medical attention if they occur. Consult with a professional if swelling or redness persists.",,
a6a39241-c7b5-5c25-bc1e-eaa81a3ac7a8,treat-lutronic-hollywood-peel,루트로닉 할리우드 필링,Lutronic Hollywood Peeling,normal|oily|combination,0.7,pores|dullness|uneven_tone|sun_damage,0.8,30,3~5회 (2~4주 간격),0,100000,250000,Lutronic Hollywood Peeling uses laser technology to stimulate collagen production and improve skin tone. Experience immediate brightening and a short recovery period after treatment.,Lutronic Hollywood Peeling uses laser technology to stimulate collagen production and improve skin tone. Experience immediate brightening and a short recovery period after treatment.,"Prior to treatment, a skin assessment is necessary, and expect a 1-3 day recovery period. If scheduling this during your trip, minimize sun exposure and book your appointment with ample buffer time.","Prior to treatment, a skin assessment is necessary, and expect a 1-3 day recovery period. If scheduling this during your trip, minimize sun exposure and book your appointment with ample buffer time.","After the peeling, prioritize sun protection and avoid saunas, hot springs, and alcohol. You can resume normal activities within a few days. Contact your provider if you notice any unusual symptoms.","After the peeling, prioritize sun protection and avoid saunas, hot springs, and alcohol. You can resume normal activities within a few days. Contact your provider if you notice any unusual symptoms.",,
caa628ee-99fe-5125-b391-3a55ae4033b9,treat-aqua-peel,아쿠아필,Aqua Peel,oily|combination|normal|sensitive|dry,0.9,acne|pores|dullness|uneven_tone|dryness,0.85,30,2~4주 간격 반복,0,50000,120000,"Aqua Peel deeply cleanses pores, removes impurities and exfoliates dead skin cells while hydrating the skin. Experience immediate skin improvement with minimal downtime.","Aqua Peel deeply cleanses pores, removes impurities and exfoliates dead skin cells while hydrating the skin. Experience immediate skin improvement with minimal downtime.","Consult with a professional about your skin condition before undergoing Aqua Peel. Expect 1-3 days of recovery. Tourists should schedule the treatment early in their trip, minimize sun exposure, and avoid strenuous activities post-treatment.","Consult with a professional about your skin condition before undergoing Aqua Peel. Expect 1-3 days of recovery. Tourists should schedule the treatment early in their trip, minimize sun exposure, and avoid strenuous activities post-treatment.","After the treatment, diligently apply sunscreen. Avoid saunas, hot springs, and alcohol consumption. Normal activities can usually resume after 1-2 days, but consult a professional if you experience severe redness or itching.","After the treatment, diligently apply sunscreen. Avoid saunas, hot springs, and alcohol consumption. Normal activities can usually resume after 1-2 days, but consult a professional if you experience severe redness or itching.",,
2acbfb79-6973-5de6-ac1f-68776b53a66f,treat-salicylic-acid-peel,살리실산 필링,Salicylic Acid Peel,oily|combination|normal,0.8,acne|pores|uneven_tone|dark_spots,0.9,30,3~6회 (2~4주 간격),2,30000,80000,"Salicylic acid peels exfoliate the skin and clear pores, leading to improved skin texture. Redness may occur post-treatment, but recovery is typically quick, revealing smoother, brighter skin within a few days.","Salicylic acid peels exfoliate the skin and clear pores, leading to improved skin texture. Redness may occur post-treatment, but recovery is typically quick, revealing smoother, brighter skin within a few days.","Avoid strong sun exposure for at least a week before your peel. Plan your treatment with enough buffer time during your trip, as your skin will be more sensitive. Expect a downtime of 1-3 days for recovery.","Avoid strong sun exposure for at least a week before your peel. Plan your treatment with enough buffer time during your trip, as your skin will be more sensitive. Expect a downtime of 1-3 days for recovery.","After the peel, diligently apply sunscreen and avoid saunas, hot springs, and alcohol. Light makeup can usually be resumed after a few days. Consult a professional immediately if you experience any skin irritation or inflammation.","After the peel, diligently apply sunscreen and avoid saunas, hot springs, and alcohol. Light makeup can usually be resumed after a few days. Consult a professional immediately if you experience any skin irritation or inflammation.",,
6fcd4565-5faa-53d5-a94b-51fc7a3285ce,treat-brightening-peel,미백 필링,Whitening Peeling,oily|combination|normal,0.75,dark_spots|dullness|uneven_tone,0.85,30,3~6회 (2~4주 간격),3,50000,120000,"Whitening Peeling gently exfoliates to brighten dull skin, revealing a clearer, more radiant complexion. This treatment promotes skin renewal, with temporary redness being a common side effect.","Whitening Peeling gently exfoliates to brighten dull skin, revealing a clearer, more radiant complexion. This treatment promotes skin renewal, with temporary redness being a common side effect.","Consult your skin condition before treatment and avoid using harsh cosmetics. Allow for a 1-3 day recovery period. If getting this treatment during travel, schedule it early in your trip and minimize sun exposure.","Consult your skin condition before treatment and avoid using harsh cosmetics. Allow for a 1-3 day recovery period. If getting this treatment during travel, schedule it early in your trip and minimize sun exposure.","After the peeling, prioritize sun protection and avoid saunas, hot springs, and alcohol. Light activities can usually be resumed after a few days. If redness or itching worsens, consult a professional immediately.","After the peeling, prioritize sun protection and avoid saunas, hot springs, and alcohol. Light activities can usually be resumed after a few days. If redness or itching worsens, consult a professional immediately.",,
341e2524-ff1e-58e7-9fd2-df89979d9f63,treat-lactic-acid-peel,젖산 필링,Lactic Acid Peel,dry|normal|combination|sensitive,0.75,uneven_tone|dark_spots|dullness|dryness|wrinkles,0.8,30,3~6회 (2~4주 간격),1,30000,80000,"Lactic acid peels gently exfoliate, improving skin texture and tone. Expect smoother skin within days, with minimal downtime.","Lactic acid peels gently exfoliate, improving skin texture and tone. Expect smoother skin within days, with minimal downtime.","Avoid strong sun exposure at least a week before treatment, as skin sensitivity may increase. Plan your schedule accordingly, allowing for 1-3 days of recovery. Tourists should avoid scheduling before outdoor intensive plans.","Avoid strong sun exposure at least a week before treatment, as skin sensitivity may increase. Plan your schedule accordingly, allowing for 1-3 days of recovery. Tourists should avoid scheduling before outdoor intensive plans.","Apply sunscreen diligently after treatment, and avoid saunas, hot springs, and alcohol. Resume normal activities in 2-3 days. Consult a professional immediately if redness or itching worsens.","Apply sunscreen diligently after treatment, and avoid saunas, hot springs, and alcohol. Resume normal activities in 2-3 days. Consult a professional immediately if redness or itching worsens.",,
f00bb817-d3ce-589e-9657-f06e37d828f8,treat-glutathione-whitening-treatment,글루타치온 화이트닝,Glutathione Whitening,normal|combination|oily|dry,0.7,dullness|uneven_tone|dark_spots,0.9,45,1~2주 간격 반복,0,80000,200000,"Glutathione Whitening brightens your complexion from within, reducing dullness and promoting a clear, radiant skin tone. This treatment offers quick recovery, allowing you to resume your daily activities with minimal downtime.","Glutathione Whitening brightens your complexion from within, reducing dullness and promoting a clear, radiant skin tone. This treatment offers quick recovery, allowing you to resume your daily activities with minimal downtime.","Prior to the treatment, ensure your skin is thoroughly assessed. Expect a recovery period of 1-3 days. If you're a tourist, minimize sun exposure and schedule your treatment allowing ample time within your travel itinerary.","Prior to the treatment, ensure your skin is thoroughly assessed. Expect a recovery period of minimal downtime. If you're a tourist, minimize sun exposure and schedule your treatment allowing ample time within your travel itinerary.","After the treatment, protect your skin from the sun. Avoid saunas, hot springs, and alcohol consumption. You can resume normal activities once swelling or redness subsides. Consult a professional immediately if any unusual symptoms occur.","After the treatment, protect your skin from the sun. Avoid saunas, hot springs, and alcohol consumption. You can resume normal activities once swelling or redness subsides. Consult a professional immediately if any unusual symptoms occur.",,
d11fff24-3c10-53bf-aa0d-9e125399bac0,treat-dermapen-microneedling-mts,더마펜 MTS,DermaPen MTS,oily|combination|normal,0.7,acne|wrinkles|pores|uneven_tone,0.8,60,3~6회 (4주 간격),5,100000,250000,"DermaPen MTS uses tiny needles to stimulate collagen production. This treatment improves skin texture, minimizes pores, and reduces scars, with a natural recovery within a few days.","DermaPen MTS uses tiny needles to stimulate collagen production. This treatment improves skin texture, minimizes pores, and reduces scars, with a natural recovery within a few days.","Before treatment, ensure your skin is properly assessed. Expect a downtime of 1-3 days. If you're traveling, minimize sun exposure and schedule your treatment accordingly.","Before treatment, ensure your skin is properly assessed. Expect a downtime of 3-5 days. If you're traveling, minimize sun exposure and schedule your treatment accordingly.","After the treatment, diligently apply sunscreen and avoid saunas, hot springs, and alcohol. You can resume light activities after a few days. Watch for any unusual skin reactions and consult a specialist if needed.","After the treatment, diligently apply sunscreen and avoid saunas, hot springs, and alcohol. You can resume light activities after a few days. Watch for any unusual skin reactions and consult a specialist if needed.",,
76d00f13-0bd7-515b-a3e5-013af7df8587,treat-rejuran-healer,리쥬란 힐러,Rejuran Healer,dry|normal|combination|sensitive,0.9,wrinkles|dryness|dullness|uneven_tone,0.85,45,3~4회 (2~4주 간격),3,200000,400000,"Rejuran Healer promotes collagen production from within, improving skin texture, elasticity, and reducing fine lines. You can expect to see visible skin improvements within days with minimal downtime.","Rejuran Healer promotes collagen production from within, improving skin texture, elasticity, and reducing fine lines. You can expect to see visible skin improvements within days with minimal downtime.","Consult with your doctor about your skin condition before the procedure. Bruising or swelling may occur, and recovery typically takes 1-3 days. If you are a tourist, schedule your treatment early in your trip and minimize sun exposure.","Consult with your doctor about your skin condition before the procedure. Bruising or swelling may occur, and recovery typically takes 1-3 days. If you are a tourist, schedule your treatment early in your trip and minimize sun exposure.","For a few days after the treatment, avoid strong sunlight, saunas, hot springs, and alcohol. If swelling or bruising worsens, or you notice any other unusual symptoms, contact your clinic immediately. Light cleansing and makeup are generally possible from the next day.","For a few days after the treatment, avoid strong sunlight, saunas, hot springs, and alcohol. If swelling or bruising worsens, or you notice any other unusual symptoms, contact your clinic immediately. Light cleansing and makeup are generally possible from the next day.",,
